Treatment,Mass,mean
A,329.0778905,0.0
A,329.0790188,0.0
A,329.0877948,0.0
A,329.0889491,0.0
A,329.1030085,0.0
A,329.1041954,0.0
A,329.1074993,0.0
A,329.1241329,0.0
A,329.1252469,0.0
A,329.1394681,0.0
A,329.1605263,0.0
A,329.1616461,0.0
A,329.1969843,0.0
A,329.1980882,0.0
A,329.2333314,0.0
A,330.0254419,0.0
A,330.0366468,0.0
A,330.0619007,0.0
A,330.0630202,0.0
A,330.0842603,0.0
A,330.0923016,0.0
A,330.0983174,0.0
A,330.1568608,0.0
A,331.0094258,0.0
A,331.0105692,0.0
A,331.0318898,0.0
A,331.0458712,0.0
A,331.0470202,0.0
A,331.0571602,0.0
A,331.0583093,0.0
A,331.0670895,0.0
A,331.0682657,0.0
A,331.0823448,0.0
A,331.09355,0.0
A,331.0947033,0.0
A,331.1033909,0.0
A,331.1045542,0.0
A,331.1187317,0.0
A,331.1398231,0.0
A,331.1409837,0.0
A,331.1762183,0.0
A,331.1773625,0.0
A,332.0411846,0.0
A,332.042382,0.0
A,332.052382,0.0
A,332.0775575,0.0
A,332.0787685,0.0
A,332.088826,0.0
A,332.1078996,0.0
A,332.1138775,0.0
A,332.1151057,0.0
A,333.0251551,0.0
A,333.0263523,0.0
A,333.0364454,0.0
A,333.0376633,0.0
A,333.0476126,0.0
A,333.0615814,0.0
A,333.0627777,0.0
A,333.0661872,0.0
A,333.0728338,0.0
A,333.0740068,0.0
A,333.0827037,0.0
A,333.083898,0.0
A,333.0979761,0.0
A,333.102546,0.0
A,333.1091648,0.0
A,333.1104078,0.0
A,333.1190087,0.0
A,333.1202213,0.0
A,333.1343434,0.0
A,333.1354958,0.0
A,333.1554558,0.0
A,333.1566043,0.0
A,333.1706652,0.0
A,334.0205241,0.0
A,334.0216216,0.0
A,334.0316459,0.0
A,334.0330168,0.0
A,334.0568181,0.0
A,334.0580442,0.0
A,334.0681415,0.0
A,334.0780678,0.0
A,334.0931629,0.0
A,334.094405,0.0
A,334.1154805,0.0
A,334.9395681,0.0
A,335.0044568,0.0
A,335.0057432,0.0
A,335.0197015,0.0
A,335.0407929,0.0
A,335.0420529,0.0
A,335.052074,0.0
A,335.0533903,0.0
A,335.077185,0.0
A,335.0783916,0.0
A,335.0817918,0.0
A,335.0884932,0.0
A,335.1136445,0.0
A,335.1248349,0.0
A,335.1499792,0.0
A,335.1863113,0.0
A,336.0360632,0.0
A,336.0374277,0.0
A,336.0454975,0.0
A,336.0724576,0.0
A,336.0737074,0.0
A,336.0837041,0.0
A,336.0937251,0.0
A,336.1088727,0.0
A,337.0201922,0.0
A,337.0212953,0.0
A,337.0353583,0.0
A,337.0364634,0.0
A,337.0565274,0.0
A,337.0577921,0.0
A,337.0677046,0.0
A,337.0689696,0.0
A,337.0873265,0.0
A,337.088596,0.0
A,337.0928805,0.0
A,337.0941796,0.0
A,337.1041489,0.0
A,337.1292138,0.0
A,337.1304392,0.0
A,337.1435857,0.0
A,337.1656953,0.0
A,337.1842197,0.0
A,338.016448,0.0
A,338.0172007,0.0
A,338.0231777,0.0
A,338.030174,0.0
A,338.0517794,0.0
