SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample11,Abiotic,Pyrophosphate,PP,43,0.0014078973217209
Sample11,Abiotic,Acetylation_(-H),C2H3O2,43,0.0014078973217209
Sample11,Abiotic,Acetone_(-H),C3H5O,43,0.0014078973217209
Sample11,Amino Acid,Cytosine_(-H),C4H4N3O,48,0.0015716063126186
Sample11,Amino Acid,Cysteine_(-H2O),C3H5NOS,50,0.0016370899089778
Sample11,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,51,0.0016698317071573
Sample11,Abiotic,Oxidative_Debromination_(-Br),HO,52,0.0017025735053369
Sample11,Other,Ornitine_Conjugation_(-OH),C5H11N2O2,53,0.0017353153035164
Sample11,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,54,0.001768057101696
Sample11,Amino Acid,Methionine_(-H2O),C5H9NOS,56,0.0018335406980551
Sample11,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,62,0.0020299914871324
Sample11,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,63,0.002062733285312
Sample11,Amino Acid,Glutamine_(-H2O)/Glutamine_Conjugation_(-OH),C5H8N2O2_C5H9N2O3,75,0.0024556348634667
Sample11,Other,Taurine_Conjugation_(-OH),C2H6NO3S,76,0.0024883766616462
Sample11,Amino Acid,Phenylalanine_(-H2O),C9H9NO,93,0.0030449872306987
Sample11,Other,Urea_addition_(-H),CH3N2O,97,0.0031759544234169
Sample11,Amino Acid,Asparagine_(-H2O),C4H6N2O2,109,0.0035688560015716
Sample11,Amino Acid,Guanine_(-H),C5H4N5O,116,0.0037980485888284
Sample11,Abiotic,Oxidative_Defluorination_(-F),HO,123,0.0040272411760853
Sample11,Amino Acid,Tyrosine_(-H2O),C9H9NO2,124,0.0040599829742649
Sample11,Amino Acid,Adenine_(-H),C5H4N5,145,0.0047475607360356
Sample11,Abiotic,Reductive_Defluorination_(-F),H,153,0.005009495121472
Sample11,Other,Thiourea_to_Urea_(-S),O,179,0.0058607818741405
Sample11,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,199,0.0065156178377316
Sample11,Amino Acid,Isoleucine_(-H2O),C6H11NO,203,0.0066465850304498
Sample11,Amino Acid,Leucine_(-H2O),C6H11NO,203,0.0066465850304498
Sample11,Abiotic,Tertiary_amine,N,210,0.0068757776177067
Sample11,Abiotic,Phosphate,HPO3,219,0.0071704538013227
Sample11,Amino Acid,Transamination_(-O),NH4,221,0.0072359373976818
Sample11,Abiotic,Carbon/dehydrogenation,C13,222,0.0072686791958614
Sample11,Abiotic,Primary_amine,NH2,224,0.0073341627922205
Sample11,Abiotic,Reductive_Dechlorination_(-Cl),H,236,0.0077270643703752
Sample11,Abiotic,Oxidative_Dechlorination_(-Cl),HO,238,0.0077925479667343
Sample11,Amino Acid,Valine_(-H2O),C5H9NO,259,0.008480125728505
Sample11,Amino Acid,Proline_(-H2O),C5H7NO,278,0.0091022198939165
Sample11,Abiotic,Inorganic_Phosphate,P,298,0.0097570558575076
Sample11,Other,O-Acetylserine,C5H9NO4,320,0.0104773754174579
Sample11,Sugar,C6H10O6,C6H10O6,330,0.0108047933992534
Sample11,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,364,0.0119180145373583
Sample11,Amino Acid,Threonine_(-H2O),C4H7NO2,381,0.0124746251064108
Sample11,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,406,0.0132931700608997
Sample11,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,424,0.0138825224281317
Sample11,Amino Acid,Alanine_(-H2O),C3H5NO,434,0.0142099404099273
Sample11,Amino Acid,Serine_(-H2O),C3H5NO2,453,0.0148320345753388
Sample11,Sugar,Glucoside_Conjugation_(-H),C6H11O5,485,0.0158797721170846
Sample11,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,524,0.0171567022460873
Sample11,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,531,0.0173858948333442
Sample11,Abiotic,Secondary_amine,NH,598,0.0195795953113745
Sample11,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,649,0.0212494270185318
Sample11,Sugar,Erythrose_(-H2O),C4H8O4,929,0.0304171305088075
Sample11,Other,Malonyl_group_(-H2O),C3H2O3,1027,0.033625826730404
Sample11,Abiotic,Acetotacetate_(-H2O),C4H4O2,1128,0.0369327483465391
Sample11,Abiotic,Nitro_Reduction_(-O2),H2,1187,0.038864514439133
Sample11,Sugar,Glyoxylate_(-H2O),C2O2,1283,0.0420077270643703
Sample11,Abiotic,Carboxylation,CO2,1319,0.0431864317988343
Sample11,Abiotic,Condensation/hydration/dehydration,H2O,1329,0.0435138497806299
Sample11,Abiotic,C2H2,C2H2,1435,0.0469844803876628
Sample11,Abiotic,Ethyl_addition_(-H2O),C2H4,1458,0.0477375417457926
Sample11,Abiotic,Acetylation_(-H2O),C2H2O,1508,0.0493746316547704
Sample11,Abiotic,Formic_Acid_(-H2O),CO,1538,0.0503568856001571
Sample11,Abiotic,Oxidation/Hydroxylation_(-H),O,1576,0.0516010739309802
Sample11,Abiotic,Hydrogenation/dehydrogenation,H2,1704,0.0557920240979634
Sample11,Abiotic,Methylation_(-H),CH3,1724,0.0564468600615545
Sample12,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,1,1.882813676758548e-05
Sample12,Amino Acid,Adenosine_5_diphosphate_(-H2O),C10H13N5O9P2,1,1.882813676758548e-05
Sample12,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,1,1.882813676758548e-05
Sample12,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,1,1.882813676758548e-05
